PC,metabolite,statistic,p.adj,comparison,respirationMetabolites,calciumSignalingMetabolites,coldProtectionMetabolites,valineBiosynthesis,arginineBiosynthesis,glutathioneMetabolism,alanineMetabolism
2,2-aminobutyric acid,NA,NA,NA,N,N,N,N,N,N,N
2,malic acid,-4.11954048865993,0.00640800571579145,13v30_day22,Y,N,N,N,N,N,N
2,malic acid,-2.90690105341364,0.0224713846977616,30v5_day22,Y,N,N,N,N,N,N
2,alanine,-3.60235494068877,0.00393939824953152,13v5_day22,N,N,Y,N,N,N,Y
2,alanine,2.33893711333095,0.0466492296503812,30v5_day22,N,N,Y,N,N,N,Y
2,noradrenaline,NA,NA,NA,N,N,N,N,N,N,N
2,N-methylethanolamine,-5.06933841306414,0.000194046286373801,13v5_day22,N,N,N,N,N,N,N
2,N-methylethanolamine,3.12772189868614,0.0164381748469789,30v5_day22,N,N,N,N,N,N,N
2,glutathione,-2.3718979944557,0.049180415812915,13v30_day22,N,N,N,N,N,N,N
2,3-aminoisobutyric acid,NA,NA,NA,N,N,N,N,N,N,N
2,aspartate,NA,NA,NA,N,N,N,N,N,N,N
2,glycyl tyrosine,NA,NA,NA,N,N,N,N,N,N,N
2,heptadecanoic acid,-2.70748821693036,0.0295548648965507,30v5_day22,N,N,N,N,N,N,N
2,lyxose,NA,NA,NA,N,N,N,N,N,N,N
2,uracil,2.44500246081902,0.0280647470496565,13v5_day22,N,N,N,N,N,N,N
2,threonine,4.11676348906737,0.00672404040385438,13v30_day22,N,Y,N,Y,N,N,N
2,threonine,3.32802721431409,0.00575093226315157,13v5_day22,N,Y,N,Y,N,N,N
2,2-ketoisocaproic acid,3.01324155811332,0.011649980503399,13v5_day22,N,N,N,Y,N,N,N
2,phosphoethanolamine,2.66641082852204,0.0314668516712722,13v30_day22,N,N,N,N,N,N,N
2,phosphoethanolamine,5.79011582507434,2.18042641889632e-05,13v5_day22,N,N,N,N,N,N,N
2,pinitol,8.08587849359808,1.69596280577231e-07,13v5_day22,N,N,N,N,N,N,N
2,pinitol,-2.87317627701633,0.0271396736902173,30v5_day22,N,N,N,N,N,N,N
2,proline,3.51158021959053,0.0169190876001111,13v30_day22,N,N,Y,N,N,N,N
2,proline,4.00685236275615,0.00166549291713173,13v5_day22,N,N,Y,N,N,N,N
2,serine,4.42953493416215,0.000771709810419877,13v5_day22,N,Y,N,N,N,N,N
2,serine,-2.63318054823173,0.0349934471459485,30v5_day22,N,Y,N,N,N,N,N
2,pyrrole-2-carboxylic acid,2.78457458121897,0.0172771586926273,13v5_day22,N,N,N,N,N,N,N
2,methionine sulfoxide,3.16827999656447,0.00840363930773664,13v5_day22,N,N,N,N,N,N,N
