Compound	PubChem	KEGG	class	VIP13v30	VIP13v5	lipidClass	targetClass	saturation	LION.0000003	LION.0000010	LION.0000031	LION.0000095	LION.0000465	LION.0012010	LION.0012080	LION.0000011	LION.0012081
Cholesterol	NA	NA	lipid	N	N	NA	NA	NA	NA	NA	NA	NA	NA	13v30	NA	NA	NA
HexCer 32:0;O2	NA	NA	lipid	N	N	NA	NA	NA	NA	NA	NA	NA	NA	13v30	NA	NA	NA
PC 34:0	NA	NA	lipid	Y	N	PC	PC	Saturated	both	13v30	NA	13v30	13v30	13v30	both	NA	NA
PC O-31:0	NA	NA	lipid	Y	N	PC	PC	Saturated	both	13v30	13v30	13v30	13v30	13v30	both	NA	NA
PC O-31:0|PC O-15:0_16:0	NA	NA	lipid	Y	N	PC	PC	Saturated	both	13v30	13v30	13v30	13v30	13v30	both	NA	NA
PC O-32:0	NA	NA	lipid	Y	N	PC	PC	Saturated	both	13v30	13v30	13v30	13v30	13v30	both	NA	NA
PC O-33:0	NA	NA	lipid	Y	N	PC	PC	Saturated	both	13v30	13v30	13v30	13v30	13v30	both	NA	NA
PE 18:0_22:3	NA	NA	lipid	N	N	NA	NA	NA	both	NA	NA	13v30	NA	13v30	both	13v5	13v5
SM d30:1	NA	NA	lipid	N	N	NA	NA	NA	NA	NA	NA	13v30	NA	13v30	NA	NA	NA
SM d31:1	NA	NA	lipid	N	N	NA	NA	NA	NA	NA	NA	13v30	NA	13v30	NA	NA	NA
SM d32:0	NA	NA	lipid	Y	N	SM	Other	Saturated	NA	NA	NA	13v30	NA	13v30	NA	NA	NA
SM d32:0 Isomer B	NA	NA	lipid	Y	N	SM	Other	Saturated	NA	NA	NA	13v30	NA	13v30	NA	NA	NA
SM d32:1 Isomer A	NA	NA	lipid	N	N	NA	NA	NA	NA	NA	NA	13v30	NA	13v30	NA	NA	NA
SM d32:1 Isomer B	NA	NA	lipid	Y	N	SM	Other	Monounsaturated	NA	NA	NA	13v30	NA	13v30	NA	NA	NA
SM d32:2	NA	NA	lipid	N	N	NA	NA	NA	NA	NA	NA	13v30	NA	13v30	NA	NA	NA
SM d33:1	NA	NA	lipid	N	N	NA	NA	NA	NA	NA	NA	13v30	NA	13v30	NA	NA	NA
SM d34:0	NA	NA	lipid	Y	N	SM	Other	Saturated	NA	NA	NA	13v30	NA	13v30	NA	NA	NA
SM d34:1 Isomer A	NA	NA	lipid	N	N	NA	NA	NA	NA	NA	NA	13v30	NA	13v30	NA	NA	NA
SM d34:1 Isomer B	NA	NA	lipid	Y	N	SM	Other	Monounsaturated	NA	NA	NA	13v30	NA	13v30	NA	NA	NA
SM d35:2	NA	NA	lipid	N	N	NA	NA	NA	NA	NA	NA	13v30	NA	13v30	NA	NA	NA
SM d36:4	NA	NA	lipid	N	N	NA	NA	NA	NA	NA	NA	13v30	NA	13v30	NA	NA	NA
